"","mu","Ne","LL"
"543",3e-06,70,-3363.21302719972
"544",4e-06,70,-3352.1177287839
"545",5e-06,70,-3370.13864280038
"546",6e-06,70,-3406.57961747683
"547",7e-06,70,-3455.7350005295
"548",8e-06,70,-3514.19902670815
"549",9e-06,70,-3579.77490821064
"550",1e-06,71,-3625.56850631988
"551",2e-06,71,-3431.43140217486
"552",3e-06,71,-3367.03363397778
"553",4e-06,71,-3355.77510111246
"554",5e-06,71,-3373.63278408493
"555",6e-06,71,-3409.91053112844
"556",7e-06,71,-3458.90268996488
"557",8e-06,71,-3517.20349534905
"558",9e-06,71,-3582.61615948475
"559",1e-06,72,-3629.79637262128
"560",2e-06,72,-3435.48733083135
"561",3e-06,72,-3370.91742091059
"562",4e-06,72,-3359.48688538814
"563",5e-06,72,-3377.17256752002
"564",6e-06,72,-3413.27831554502
"565",7e-06,72,-3462.09847718954
"566",8e-06,72,-3520.22728721393
"567",9e-06,72,-3585.46795782687
"568",1e-06,73,-3634.10285540526
"569",2e-06,73,-3439.61348407065
"570",3e-06,73,-3374.86303899334
"571",4e-06,73,-3363.25210584595
"572",5e-06,73,-3380.75739063536
"573",6e-06,73,-3416.68274160454
"574",7e-06,73,-3465.32250648478
"575",8e-06,73,-3523.27092004079
"576",9e-06,73,-3588.33119448602
"577",1e-06,74,-3638.48594438564
"578",2e-06,74,-3443.80820901722
"579",3e-06,74,-3378.86919281304
"580",4e-06,74,-3367.06982458888
"581",5e-06,74,-3384.38667310153
"582",6e-06,74,-3420.12358659791
"583",7e-06,74,-3468.57491281382
"584",8e-06,74,-3526.33488651789
"585",9e-06,74,-3591.20671992787
"586",1e-06,75,-3642.94370969008
"587",2e-06,75,-3448.06991827454
"588",3e-06,75,-3382.93463749959
"589",4e-06,75,-3370.93913932361
"590",5e-06,75,-3388.05985525289
"591",6e-06,75,-3423.60063353819
"592",7e-06,75,-3471.85582191873
"593",8e-06,75,-3529.41965516728
"594",9e-06,75,-3594.09534550503
"595",1e-06,76,-3647.4742975476
"596",2e-06,76,-3452.3970863512
"597",3e-06,76,-3387.05817589053
"598",4e-06,76,-3374.85918126545
"599",5e-06,76,-3391.77639673179
"600",6e-06,76,-3427.1136705436
"601",7e-06,76,-3475.16535044338
"602",8e-06,76,-3532.5256712072
"603",9e-06,76,-3596.99784505933
"604",1e-06,77,-3652.07592626157
"605",2e-06,77,-3456.78824632962
"606",3e-06,77,-3391.23865589462
"607",4e-06,77,-3378.82911319766
"608",5e-06,77,-3395.53577524305
"609",6e-06,77,-3430.66249028821
"610",7e-06,77,-3478.50360607824
"611",8e-06,77,-3535.65335739242
"612",9e-06,77,-3599.91495645771
"613",1e-06,78,-3656.74688244683
"614",2e-06,78,-3461.2419867571
"615",3e-06,78,-3395.47496803791
"616",4e-06,78,-3382.84812767039
"617",5e-06,78,-3399.33748540768
"618",6e-06,78,-3434.24688950957
"619",7e-06,78,-3481.87068772386
"620",8e-06,78,-3538.8031148321
"621",9e-06,78,-3602.84738306406
"622",1e-06,79,-3661.48551751058
"623",2e-06,79,-3465.75694874284
"624",3e-06,79,-3399.76604317607
"625",4e-06,79,-3386.91544533053
"626",5e-06,79,-3403.18103770808
"627",6e-06,79,-3437.86666857069
"628",7e-06,79,-3485.2666856681
"629",8e-06,79,-3541.97532378384
"630",9e-06,79,-3605.79579515024
"631",1e-06,80,-3666.29024435654
"632",2e-06,80,-3470.33182324303
"633",3e-06,80,-3404.11085036056
"634",4e-06,80,-3391.03031336823
"635",5e-06,80,-3407.06595751639
"636",6e-06,80,-3441.52163106844
"637",7e-06,80,-3488.69168177578
"638",8e-06,80,-3545.17034442418
"639",9e-06,80,-3608.76083124712
