"X30","X50","X100"
40.0,67.0,93.0
27.0,54.0,137.0
32.0,47.0,113.0
33.0,58.0,90.0
32.0,48.0,91.0
28.0,50.0,96.0
32.0,66.0,76.0
34.0,69.0,170.0
31.0,58.0,164.0
34.0,52.0,123.0
32.0,69.0,96.0
30.0,53.0,168.0
28.0,45.0,157.0
27.0,32.0,93.0
28.0,57.0,137.0
33.0,66.0,112.0
35.0,56.0,106.0
33.0,62.0,98.0
40.0,67.0,193.0
33.0,72.0,126.0
33.0,46.0,110.0
27.0,52.0,157.0
32.0,52.0,134.0
28.0,68.0,104.0
33.0,54.0,96.0
35.0,60.0,129.0
31.0,57.0,76.0
27.0,48.0,171.0
35.0,75.0,87.0
44.0,60.0,144.0
32.0,53.0,93.0
33.0,53.0,95.0
30.0,59.0,86.0
43.0,54.0,108.0
33.0,71.0,125.0
32.0,54.0,130.0
42.0,40.0,123.0
30.0,59.0,117.0
30.0,32.0,105.0
33.0,33.0,98.0
40.0,42.0,86.0
33.0,64.0,95.0
33.0,55.0,157.0
33.0,45.0,106.0
33.0,44.0,100.0
32.0,43.0,121.0
32.0,75.0,110.0
33.0,44.0,149.0
40.0,63.0,99.0
32.0,43.0,167.0
32.0,57.0,101.0
32.0,43.0,126.0
32.0,65.0,115.0
32.0,53.0,146.0
32.0,47.0,76.0
33.0,41.0,97.0
32.0,77.0,105.0
33.0,54.0,141.0
33.0,47.0,133.0
32.0,87.0,99.0
35.0,33.0,111.0
